job_id,experiment_name,model_name,epoch,step,batch_size,num_workers,cpus_per_task,loss,top1,top5,data_time_sec,compute_time_sec,step_time_sec,samples_per_sec,torch_mem_allocated_mb,torch_mem_reserved_mb,torch_max_mem_allocated_mb,torch_max_mem_reserved_mb
1146,custom,resnet34,1,1,128,4,4,4.733074,0.78125,3.90625,0.478909,1.036272,1.515181,84.4784,183.3657,1764.0,1202.8286,1764.0
1146,custom,resnet34,1,2,128,4,4,4.812469,0.78125,4.6875,0.000445,0.074715,0.07516,1703.036,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,3,128,4,4,5.366483,3.125,10.9375,0.000171,0.07326,0.07343,1743.1515,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,4,128,4,4,6.04787,2.34375,5.46875,0.000136,0.071157,0.071293,1795.4114,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,5,128,4,4,6.152853,0.78125,6.25,0.000198,0.071327,0.071525,1789.5839,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,6,128,4,4,5.779837,1.5625,3.90625,0.00035,0.072496,0.072846,1757.1334,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,7,128,4,4,5.079119,1.5625,7.8125,0.000196,0.068908,0.069104,1852.2737,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,8,128,4,4,5.124902,2.34375,4.6875,0.000115,0.06901,0.069126,1851.7038,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,9,128,4,4,5.389064,2.34375,7.03125,0.000216,0.069423,0.069639,1838.055,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,10,128,4,4,6.337878,0.0,7.03125,0.000243,0.068985,0.069229,1848.9482,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,11,128,4,4,6.120133,1.5625,5.46875,0.000685,0.068742,0.069427,1843.6545,183.3657,1764.0,1287.0684,1764.0
1146,custom,resnet34,1,12,128,4,4,4.721843,3.125,3.90625,0.000133,0.069001,0.069134,1851.4757,183.3657,1764.0,1287.0684,1764.0
