job_id,experiment_name,model_name,epoch,batch_size,num_workers,cpus_per_task,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,epoch_time_sec,avg_samples_per_sec,avg_step_time_sec,avg_data_time_sec,avg_compute_time_sec,data_time_ratio,torch_peak_allocated_mb,torch_peak_reserved_mb
1147,resnet152_bs64_workers4_cpus4,resnet152,1,64,4,4,4.700066,1.757778,7.264444,6.686427,1.74,6.8,125.637152,403.3971,0.158455,0.000838,0.157618,0.005287,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,2,64,4,4,4.291538,3.497778,14.753333,4.160351,4.92,19.7,119.545128,408.8578,0.156339,0.000294,0.156045,0.00188,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,3,64,4,4,4.007682,6.955556,25.04,3.914962,8.32,28.06,119.906043,408.9079,0.15632,0.000247,0.156073,0.001581,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,4,64,4,4,3.760039,10.666667,33.542222,3.596641,14.08,38.78,120.147793,408.7346,0.156386,0.000249,0.156137,0.001594,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,5,64,4,4,3.47181,15.86,42.742222,3.293984,18.96,47.98,122.639646,408.6826,0.156406,0.000256,0.15615,0.001637,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,6,64,4,4,3.225826,20.211111,49.531111,3.279911,22.34,51.48,119.783991,408.5062,0.156474,0.000379,0.156095,0.002419,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,7,64,4,4,2.978292,25.011111,56.384444,3.506472,25.4,56.26,120.49682,408.4402,0.156499,0.000409,0.15609,0.002615,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,8,64,4,4,2.704565,30.226667,62.742222,3.191217,25.74,56.74,122.766825,408.5672,0.15645,0.000342,0.156108,0.002185,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,9,64,4,4,2.47231,35.155556,68.217778,2.783747,30.86,62.72,118.422162,408.3087,0.156549,0.000344,0.156206,0.002196,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,10,64,4,4,2.292169,38.928889,71.942222,2.536212,34.86,67.0,119.116052,408.1433,0.156613,0.000404,0.156209,0.002578,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,11,64,4,4,2.103051,42.968889,75.584444,2.370552,39.1,70.04,119.154692,408.3903,0.156518,0.000357,0.156161,0.002283,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,12,64,4,4,1.943346,46.751111,78.904444,2.017984,44.72,76.96,123.671276,408.0358,0.156654,0.00041,0.156244,0.002615,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,13,64,4,4,1.790703,50.391111,81.524444,1.906683,47.42,80.3,118.313424,408.9568,0.156301,0.000426,0.155875,0.002725,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,14,64,4,4,1.628691,54.42,84.297778,1.805799,49.88,81.74,117.933803,409.9728,0.155914,0.000335,0.155579,0.002149,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,15,64,4,4,1.482434,57.906667,86.671111,1.677993,53.48,83.62,118.008588,409.821,0.155972,0.000332,0.155639,0.002131,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,16,64,4,4,1.308787,62.186667,89.262222,1.567606,56.62,85.42,117.957473,409.7715,0.15599,0.000308,0.155682,0.001978,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,17,64,4,4,1.155153,66.195556,91.517778,1.347099,62.08,88.5,117.809196,410.1663,0.15584,0.000394,0.155446,0.002528,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,18,64,4,4,0.994828,70.655556,93.275556,1.288938,63.6,89.56,117.76969,410.265,0.155803,0.000423,0.15538,0.002717,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,19,64,4,4,0.864381,74.353333,94.873333,1.220527,65.78,90.14,117.809965,410.037,0.155889,0.00042,0.15547,0.002692,3904.1602,4446.0
1147,resnet152_bs64_workers4_cpus4,resnet152,20,64,4,4,0.779108,77.051111,95.72,1.184605,66.66,90.64,117.822675,410.0477,0.155885,0.000421,0.155464,0.002703,3904.1602,4446.0
