timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:05:38.289, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 40.58 W, 32
2026/06/18 12:05:39.291, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 40.58 W, 32
2026/06/18 12:05:40.292, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 40.58 W, 32
2026/06/18 12:05:41.294, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 40.58 W, 32
2026/06/18 12:05:42.295, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 40.58 W, 32
2026/06/18 12:05:43.297, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4 MiB, 32491 MiB, 40.58 W, 32
2026/06/18 12:05:44.299, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4 MiB, 32491 MiB, 40.58 W, 32
2026/06/18 12:05:45.301, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 456 MiB, 32039 MiB, 55.47 W, 32
2026/06/18 12:05:46.302, 0, Tesla V100-SXM2-32GB, 2 %, 1 %, 32768 MiB, 2150 MiB, 30345 MiB, 174.72 W, 34
2026/06/18 12:05:47.304, 0, Tesla V100-SXM2-32GB, 93 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 268.62 W, 38
2026/06/18 12:05:48.305, 0, Tesla V100-SXM2-32GB, 93 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 269.46 W, 40
2026/06/18 12:05:49.307, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 274.24 W, 41
2026/06/18 12:05:50.308, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 272.69 W, 42
2026/06/18 12:05:51.310, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 262.94 W, 43
2026/06/18 12:05:52.311, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 274.61 W, 43
2026/06/18 12:05:53.313, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 276.64 W, 43
2026/06/18 12:05:54.314, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 273.29 W, 44
2026/06/18 12:05:55.315, 0, Tesla V100-SXM2-32GB, 95 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 262.63 W, 45
2026/06/18 12:05:56.317, 0, Tesla V100-SXM2-32GB, 95 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 263.77 W, 45
2026/06/18 12:05:57.318, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 256.58 W, 45
2026/06/18 12:05:58.319, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 255.96 W, 46
2026/06/18 12:05:59.321, 0, Tesla V100-SXM2-32GB, 96 %, 72 %, 32768 MiB, 2156 MiB, 30339 MiB, 249.39 W, 46
2026/06/18 12:06:00.323, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 240.44 W, 46
2026/06/18 12:06:01.325, 0, Tesla V100-SXM2-32GB, 94 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 211.66 W, 47
2026/06/18 12:06:02.327, 0, Tesla V100-SXM2-32GB, 93 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 216.46 W, 47
2026/06/18 12:06:03.329, 0, Tesla V100-SXM2-32GB, 92 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 211.71 W, 47
2026/06/18 12:06:04.330, 0, Tesla V100-SXM2-32GB, 93 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 237.09 W, 47
2026/06/18 12:06:05.332, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 242.03 W, 48
2026/06/18 12:06:06.333, 0, Tesla V100-SXM2-32GB, 95 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 246.33 W, 48
2026/06/18 12:06:07.335, 0, Tesla V100-SXM2-32GB, 94 %, 69 %, 32768 MiB, 2156 MiB, 30339 MiB, 244.42 W, 48
2026/06/18 12:06:08.336, 0, Tesla V100-SXM2-32GB, 94 %, 70 %, 32768 MiB, 2156 MiB, 30339 MiB, 252.85 W, 49
2026/06/18 12:06:09.338, 0, Tesla V100-SXM2-32GB, 94 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 268.50 W, 49
2026/06/18 12:06:10.339, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2156 MiB, 30339 MiB, 274.24 W, 49
2026/06/18 12:06:11.341, 0, Tesla V100-SXM2-32GB, 95 %, 72 %, 32768 MiB, 2156 MiB, 30339 MiB, 274.72 W, 49
2026/06/18 12:06:12.342, 0, Tesla V100-SXM2-32GB, 68 %, 45 %, 32768 MiB, 2156 MiB, 30339 MiB, 219.04 W, 46
2026/06/18 12:06:13.344, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 2158 MiB, 30337 MiB, 69.38 W, 44
2026/06/18 12:06:14.346, 0, Tesla V100-SXM2-32GB, 93 %, 69 %, 32768 MiB, 2158 MiB, 30337 MiB, 250.30 W, 48
2026/06/18 12:06:15.347, 0, Tesla V100-SXM2-32GB, 94 %, 71 %, 32768 MiB, 2158 MiB, 30337 MiB, 257.02 W, 49
2026/06/18 12:06:16.349, 0, Tesla V100-SXM2-32GB, 96 %, 72 %, 32768 MiB, 2158 MiB, 30337 MiB, 259.24 W, 49
2026/06/18 12:06:17.350, 0, Tesla V100-SXM2-32GB, 94 %, 71 %, 32768 MiB, 2158 MiB, 30337 MiB, 274.06 W, 50
2026/06/18 12:06:18.352, 0, Tesla V100-SXM2-32GB, 94 %, 70 %, 32768 MiB, 2158 MiB, 30337 MiB, 278.36 W, 50
2026/06/18 12:06:19.353, 0, Tesla V100-SXM2-32GB, 95 %, 69 %, 32768 MiB, 2158 MiB, 30337 MiB, 256.37 W, 51
2026/06/18 12:06:20.355, 0, Tesla V100-SXM2-32GB, 95 %, 69 %, 32768 MiB, 2158 MiB, 30337 MiB, 236.13 W, 51
2026/06/18 12:06:21.356, 0, Tesla V100-SXM2-32GB, 95 %, 70 %, 32768 MiB, 2158 MiB, 30337 MiB, 236.13 W, 51
2026/06/18 12:06:22.358, 0, Tesla V100-SXM2-32GB, 95 %, 71 %, 32768 MiB, 2158 MiB, 30337 MiB, 262.15 W, 51
2026/06/18 12:06:23.359, 0, Tesla V100-SXM2-32GB, 94 %, 70 %, 32768 MiB, 2158 MiB, 30337 MiB, 260.20 W, 51
2026/06/18 12:06:24.361, 0, Tesla V100-SXM2-32GB, 92 %, 68 %, 32768 MiB, 2158 MiB, 30337 MiB, 268.32 W, 52
