timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:14:55.301, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 70.23 W, 48
2026/06/18 12:14:56.303, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 48.41 W, 47
2026/06/18 12:14:57.304, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 48.35 W, 46
2026/06/18 12:14:58.305, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 45.42 W, 46
2026/06/18 12:14:59.307, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.95 W, 45
2026/06/18 12:15:00.308, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 16 MiB, 32479 MiB, 42.90 W, 45
2026/06/18 12:15:01.335, 0, Tesla V100-SXM2-32GB, 1 %, 0 %, 32768 MiB, 698 MiB, 31797 MiB, 61.08 W, 45
2026/06/18 12:15:02.336, 0, Tesla V100-SXM2-32GB, 93 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 244.88 W, 49
2026/06/18 12:15:03.337, 0, Tesla V100-SXM2-32GB, 95 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 260.58 W, 52
2026/06/18 12:15:04.339, 0, Tesla V100-SXM2-32GB, 96 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 264.39 W, 53
2026/06/18 12:15:05.340, 0, Tesla V100-SXM2-32GB, 95 %, 54 %, 32768 MiB, 3450 MiB, 29045 MiB, 276.66 W, 53
2026/06/18 12:15:06.342, 0, Tesla V100-SXM2-32GB, 95 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 248.03 W, 54
2026/06/18 12:15:07.344, 0, Tesla V100-SXM2-32GB, 95 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 237.88 W, 54
2026/06/18 12:15:08.345, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 213.34 W, 54
2026/06/18 12:15:09.347, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 239.96 W, 55
2026/06/18 12:15:10.348, 0, Tesla V100-SXM2-32GB, 95 %, 59 %, 32768 MiB, 3450 MiB, 29045 MiB, 261.58 W, 54
2026/06/18 12:15:11.350, 0, Tesla V100-SXM2-32GB, 95 %, 57 %, 32768 MiB, 3450 MiB, 29045 MiB, 267.19 W, 55
2026/06/18 12:15:12.351, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 3450 MiB, 29045 MiB, 268.14 W, 55
2026/06/18 12:15:13.353, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 268.44 W, 55
2026/06/18 12:15:14.354, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 257.59 W, 55
2026/06/18 12:15:15.355, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 261.71 W, 56
2026/06/18 12:15:16.357, 0, Tesla V100-SXM2-32GB, 95 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 260.75 W, 56
2026/06/18 12:15:17.358, 0, Tesla V100-SXM2-32GB, 95 %, 57 %, 32768 MiB, 3450 MiB, 29045 MiB, 268.08 W, 56
2026/06/18 12:15:18.360, 0, Tesla V100-SXM2-32GB, 62 %, 37 %, 32768 MiB, 3450 MiB, 29045 MiB, 236.77 W, 55
2026/06/18 12:15:19.361, 0, Tesla V100-SXM2-32GB, 93 %, 57 %, 32768 MiB, 3450 MiB, 29045 MiB, 153.44 W, 54
2026/06/18 12:15:20.363, 0, Tesla V100-SXM2-32GB, 95 %, 57 %, 32768 MiB, 3450 MiB, 29045 MiB, 265.99 W, 56
2026/06/18 12:15:21.364, 0, Tesla V100-SXM2-32GB, 96 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 266.11 W, 56
2026/06/18 12:15:22.366, 0, Tesla V100-SXM2-32GB, 88 %, 50 %, 32768 MiB, 3450 MiB, 29045 MiB, 75.98 W, 53
2026/06/18 12:15:23.367, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 276.53 W, 56
2026/06/18 12:15:24.368, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 267.42 W, 57
2026/06/18 12:15:25.370, 0, Tesla V100-SXM2-32GB, 94 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 257.98 W, 57
2026/06/18 12:15:26.371, 0, Tesla V100-SXM2-32GB, 96 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 230.54 W, 57
2026/06/18 12:15:27.373, 0, Tesla V100-SXM2-32GB, 95 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 213.77 W, 57
2026/06/18 12:15:28.374, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 238.68 W, 57
2026/06/18 12:15:29.376, 0, Tesla V100-SXM2-32GB, 94 %, 59 %, 32768 MiB, 3450 MiB, 29045 MiB, 252.88 W, 57
2026/06/18 12:15:30.377, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 266.59 W, 57
2026/06/18 12:15:31.379, 0, Tesla V100-SXM2-32GB, 95 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 277.96 W, 57
2026/06/18 12:15:32.380, 0, Tesla V100-SXM2-32GB, 96 %, 54 %, 32768 MiB, 3450 MiB, 29045 MiB, 274.43 W, 57
2026/06/18 12:15:33.382, 0, Tesla V100-SXM2-32GB, 96 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 266.77 W, 58
2026/06/18 12:15:34.383, 0, Tesla V100-SXM2-32GB, 94 %, 59 %, 32768 MiB, 3450 MiB, 29045 MiB, 269.46 W, 58
2026/06/18 12:15:35.384, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 263.06 W, 58
2026/06/18 12:15:36.386, 0, Tesla V100-SXM2-32GB, 95 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 257.33 W, 58
2026/06/18 12:15:37.387, 0, Tesla V100-SXM2-32GB, 94 %, 60 %, 32768 MiB, 3450 MiB, 29045 MiB, 262.58 W, 58
2026/06/18 12:15:38.389, 0, Tesla V100-SXM2-32GB, 95 %, 59 %, 32768 MiB, 3450 MiB, 29045 MiB, 268.20 W, 58
2026/06/18 12:15:39.390, 0, Tesla V100-SXM2-32GB, 95 %, 58 %, 32768 MiB, 3450 MiB, 29045 MiB, 267.01 W, 58
2026/06/18 12:15:40.391, 0, Tesla V100-SXM2-32GB, 95 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 271.12 W, 58
2026/06/18 12:15:41.393, 0, Tesla V100-SXM2-32GB, 96 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 264.14 W, 58
2026/06/18 12:15:42.394, 0, Tesla V100-SXM2-32GB, 88 %, 50 %, 32768 MiB, 3450 MiB, 29045 MiB, 274.50 W, 58
2026/06/18 12:15:43.396, 0, Tesla V100-SXM2-32GB, 95 %, 56 %, 32768 MiB, 3450 MiB, 29045 MiB, 259.72 W, 58
2026/06/18 12:15:44.397, 0, Tesla V100-SXM2-32GB, 96 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 274.24 W, 59
2026/06/18 12:15:45.398, 0, Tesla V100-SXM2-32GB, 95 %, 54 %, 32768 MiB, 3450 MiB, 29045 MiB, 278.26 W, 59
2026/06/18 12:15:46.400, 0, Tesla V100-SXM2-32GB, 95 %, 54 %, 32768 MiB, 3450 MiB, 29045 MiB, 258.76 W, 59
2026/06/18 12:15:47.401, 0, Tesla V100-SXM2-32GB, 95 %, 55 %, 32768 MiB, 3450 MiB, 29045 MiB, 260.85 W, 59
2026/06/18 12:15:48.403, 0, Tesla V100-SXM2-32GB, 96 %, 57 %, 32768 MiB, 3450 MiB, 29045 MiB, 204.74 W, 59
2026/06/18 12:15:49.404, 0, Tesla V100-SXM2-32GB, 90 %, 52 %, 32768 MiB, 3450 MiB, 29045 MiB, 275.75 W, 59
