timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:12:01.908, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.64 W, 42
2026/06/18 12:12:02.910, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.78 W, 42
2026/06/18 12:12:03.911, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.56 W, 42
2026/06/18 12:12:04.913, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.76 W, 42
2026/06/18 12:12:05.914, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 42.76 W, 42
2026/06/18 12:12:06.916, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 30 MiB, 32465 MiB, 55.80 W, 42
2026/06/18 12:12:07.918, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 502 MiB, 31993 MiB, 57.70 W, 43
2026/06/18 12:12:08.919, 0, Tesla V100-SXM2-32GB, 82 %, 59 %, 32768 MiB, 1734 MiB, 30761 MiB, 213.24 W, 46
2026/06/18 12:12:09.924, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1734 MiB, 30761 MiB, 239.96 W, 48
2026/06/18 12:12:10.926, 0, Tesla V100-SXM2-32GB, 91 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 235.01 W, 49
2026/06/18 12:12:11.929, 0, Tesla V100-SXM2-32GB, 93 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 251.62 W, 50
2026/06/18 12:12:12.931, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 221.91 W, 50
2026/06/18 12:12:13.934, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1734 MiB, 30761 MiB, 210.70 W, 51
2026/06/18 12:12:14.937, 0, Tesla V100-SXM2-32GB, 90 %, 65 %, 32768 MiB, 1734 MiB, 30761 MiB, 221.10 W, 51
2026/06/18 12:12:15.939, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 233.57 W, 52
2026/06/18 12:12:16.941, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1734 MiB, 30761 MiB, 231.50 W, 52
2026/06/18 12:12:17.942, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 253.36 W, 52
2026/06/18 12:12:18.944, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 241.24 W, 52
2026/06/18 12:12:19.946, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 214.68 W, 53
2026/06/18 12:12:20.947, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 234.20 W, 53
2026/06/18 12:12:21.949, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1734 MiB, 30761 MiB, 254.66 W, 53
2026/06/18 12:12:22.950, 0, Tesla V100-SXM2-32GB, 90 %, 65 %, 32768 MiB, 1734 MiB, 30761 MiB, 240.44 W, 53
2026/06/18 12:12:23.952, 0, Tesla V100-SXM2-32GB, 43 %, 27 %, 32768 MiB, 1734 MiB, 30761 MiB, 142.10 W, 51
2026/06/18 12:12:24.954, 0, Tesla V100-SXM2-32GB, 2 %, 1 %, 32768 MiB, 1736 MiB, 30759 MiB, 250.68 W, 51
2026/06/18 12:12:25.955, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1736 MiB, 30759 MiB, 248.91 W, 53
2026/06/18 12:12:26.957, 0, Tesla V100-SXM2-32GB, 90 %, 64 %, 32768 MiB, 1736 MiB, 30759 MiB, 250.49 W, 54
2026/06/18 12:12:27.959, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1736 MiB, 30759 MiB, 232.93 W, 54
2026/06/18 12:12:28.960, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 216.98 W, 55
2026/06/18 12:12:29.962, 0, Tesla V100-SXM2-32GB, 93 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 246.35 W, 55
2026/06/18 12:12:30.965, 0, Tesla V100-SXM2-32GB, 93 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 136.02 W, 54
2026/06/18 12:12:31.967, 0, Tesla V100-SXM2-32GB, 93 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 251.78 W, 55
2026/06/18 12:12:32.970, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 252.74 W, 55
2026/06/18 12:12:33.971, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 217.90 W, 55
2026/06/18 12:12:34.974, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1736 MiB, 30759 MiB, 225.87 W, 55
2026/06/18 12:12:35.975, 0, Tesla V100-SXM2-32GB, 74 %, 54 %, 32768 MiB, 1736 MiB, 30759 MiB, 82.26 W, 53
2026/06/18 12:12:36.978, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 246.35 W, 54
2026/06/18 12:12:37.980, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1736 MiB, 30759 MiB, 246.35 W, 54
2026/06/18 12:12:38.981, 0, Tesla V100-SXM2-32GB, 91 %, 65 %, 32768 MiB, 1736 MiB, 30759 MiB, 239.32 W, 54
2026/06/18 12:12:39.982, 0, Tesla V100-SXM2-32GB, 73 %, 52 %, 32768 MiB, 1736 MiB, 30759 MiB, 158.84 W, 52
2026/06/18 12:12:40.984, 0, Tesla V100-SXM2-32GB, 3 %, 0 %, 32768 MiB, 1736 MiB, 30759 MiB, 70.53 W, 50
2026/06/18 12:12:41.985, 0, Tesla V100-SXM2-32GB, 92 %, 66 %, 32768 MiB, 1736 MiB, 30759 MiB, 230.86 W, 53
