timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:17:42.390, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 73.37 W, 56
2026/06/18 12:17:43.391, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 61.65 W, 56
2026/06/18 12:17:44.393, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 61.41 W, 55
2026/06/18 12:17:45.394, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 61.20 W, 55
2026/06/18 12:17:46.396, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 0 MiB, 32495 MiB, 46.65 W, 54
2026/06/18 12:17:47.397, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4 MiB, 32491 MiB, 46.14 W, 54
2026/06/18 12:17:48.399, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 580 MiB, 31915 MiB, 62.00 W, 54
2026/06/18 12:17:49.400, 0, Tesla V100-SXM2-32GB, 27 %, 13 %, 32768 MiB, 4604 MiB, 27891 MiB, 62.90 W, 54
2026/06/18 12:17:50.410, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 250.66 W, 59
2026/06/18 12:17:51.411, 0, Tesla V100-SXM2-32GB, 66 %, 38 %, 32768 MiB, 4812 MiB, 27683 MiB, 249.53 W, 59
2026/06/18 12:17:52.413, 0, Tesla V100-SXM2-32GB, 95 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 250.37 W, 60
2026/06/18 12:17:53.414, 0, Tesla V100-SXM2-32GB, 96 %, 57 %, 32768 MiB, 4812 MiB, 27683 MiB, 265.45 W, 60
2026/06/18 12:17:54.415, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 251.25 W, 61
2026/06/18 12:17:55.421, 0, Tesla V100-SXM2-32GB, 95 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 229.12 W, 61
2026/06/18 12:17:56.422, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 262.36 W, 61
2026/06/18 12:17:57.424, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 255.04 W, 61
2026/06/18 12:17:58.425, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 234.87 W, 61
2026/06/18 12:17:59.427, 0, Tesla V100-SXM2-32GB, 95 %, 57 %, 32768 MiB, 4812 MiB, 27683 MiB, 264.33 W, 61
2026/06/18 12:18:00.428, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 257.42 W, 62
2026/06/18 12:18:01.430, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 256.77 W, 62
2026/06/18 12:18:02.432, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 266.77 W, 62
2026/06/18 12:18:03.433, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 248.98 W, 62
2026/06/18 12:18:04.435, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 258.72 W, 62
2026/06/18 12:18:05.438, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 265.64 W, 62
2026/06/18 12:18:06.440, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 254.39 W, 62
2026/06/18 12:18:07.442, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 258.24 W, 62
2026/06/18 12:18:08.443, 0, Tesla V100-SXM2-32GB, 96 %, 58 %, 32768 MiB, 4812 MiB, 27683 MiB, 265.52 W, 62
2026/06/18 12:18:09.446, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 257.29 W, 63
2026/06/18 12:18:10.448, 0, Tesla V100-SXM2-32GB, 88 %, 53 %, 32768 MiB, 4812 MiB, 27683 MiB, 89.58 W, 61
2026/06/18 12:18:11.450, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4812 MiB, 27683 MiB, 77.56 W, 57
2026/06/18 12:18:12.452, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4812 MiB, 27683 MiB, 73.71 W, 56
2026/06/18 12:18:13.454, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4812 MiB, 27683 MiB, 73.23 W, 56
2026/06/18 12:18:14.455, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4812 MiB, 27683 MiB, 73.28 W, 55
2026/06/18 12:18:15.456, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4812 MiB, 27683 MiB, 238.04 W, 60
