job_id,experiment_name,model_name,epoch,step,batch_size,num_workers,cpus_per_task,loss,top1,top5,data_time_sec,compute_time_sec,step_time_sec,samples_per_sec,torch_mem_allocated_mb,torch_mem_reserved_mb,torch_max_mem_allocated_mb,torch_max_mem_reserved_mb
1147,resnet152_bs64_workers4_cpus4,resnet152,1,1,64,4,4,4.791975,1.5625,3.125,0.429551,1.190222,1.619773,39.5117,466.7964,4212.0,3674.603,4212.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,2,64,4,4,9.741818,1.5625,7.8125,0.000358,0.165362,0.16572,386.1925,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,3,64,4,4,16.481592,0.0,3.125,0.000719,0.156053,0.156772,408.2357,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,4,64,4,4,10.65597,0.0,6.25,0.000132,0.155404,0.155536,411.4806,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,5,64,4,4,10.301249,1.5625,3.125,0.000139,0.155599,0.155738,410.9456,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,6,64,4,4,8.959736,3.125,7.8125,0.000504,0.155853,0.156357,409.3193,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,7,64,4,4,9.121449,0.0,1.5625,0.000151,0.155362,0.155513,411.5418,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,8,64,4,4,7.709114,3.125,9.375,0.000363,0.155268,0.155631,411.2286,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,9,64,4,4,5.825605,0.0,4.6875,0.000305,0.20005,0.200354,319.4344,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,10,64,4,4,10.337603,1.5625,3.125,0.00039,0.155487,0.155877,410.5792,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,11,64,4,4,7.275124,0.0,1.5625,0.000176,0.155991,0.156167,409.8178,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,12,64,4,4,6.338547,1.5625,7.8125,0.00081,0.155811,0.156621,408.6302,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,13,64,4,4,8.481086,1.5625,12.5,0.000228,0.155906,0.156134,409.904,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,14,64,4,4,5.910547,1.5625,9.375,0.000162,0.156163,0.156325,409.4047,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,15,64,4,4,9.483967,0.0,7.8125,0.000163,0.156122,0.156285,409.5082,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,16,64,4,4,7.346513,3.125,9.375,0.000161,0.155606,0.155767,410.8703,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,17,64,4,4,4.741035,1.5625,6.25,0.00024,0.15586,0.1561,409.9923,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,18,64,4,4,7.6086,1.5625,6.25,0.000494,0.155959,0.156453,409.0679,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,19,64,4,4,9.67807,1.5625,4.6875,0.000165,0.155572,0.155737,410.9498,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,20,64,4,4,7.979506,0.0,6.25,0.000687,0.155767,0.156454,409.066,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,21,64,4,4,6.275996,0.0,1.5625,0.000155,0.155846,0.156001,410.2529,466.7964,4418.0,3904.1602,4418.0
1147,resnet152_bs64_workers4_cpus4,resnet152,1,22,64,4,4,6.356168,0.0,3.125,0.000289,0.156168,0.156456,409.0597,466.7964,4418.0,3904.1602,4418.0
