job_id,experiment_name,model_name,epoch,step,batch_size,num_workers,cpus_per_task,loss,top1,top5,data_time_sec,compute_time_sec,step_time_sec,samples_per_sec,torch_mem_allocated_mb,torch_mem_reserved_mb,torch_max_mem_allocated_mb,torch_max_mem_reserved_mb
1151,resnet101_bs64_workers4_cpus4,resnet101,1,34,64,4,4,4.58029,3.125,6.25,0.000173,0.108552,0.108725,588.6432,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,35,64,4,4,4.717265,0.0,6.25,0.00018,0.108748,0.108928,587.542,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,36,64,4,4,5.113851,0.0,1.5625,0.00017,0.108327,0.108496,589.8816,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,37,64,4,4,4.734124,0.0,3.125,0.000227,0.108417,0.108645,589.0771,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,38,64,4,4,4.859184,1.5625,9.375,0.000178,0.107893,0.108071,592.2023,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,39,64,4,4,4.823292,1.5625,9.375,0.000306,0.107889,0.108195,591.5265,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,40,64,4,4,4.793689,1.5625,6.25,0.000284,0.107906,0.10819,591.5535,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,41,64,4,4,4.558049,4.6875,9.375,0.000372,0.10785,0.108222,591.3777,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,42,64,4,4,4.756438,1.5625,4.6875,0.000339,0.107926,0.108265,591.1405,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,43,64,4,4,4.698977,3.125,10.9375,0.00031,0.107565,0.107875,593.2815,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,44,64,4,4,4.651766,1.5625,3.125,0.000329,0.108064,0.108394,590.4402,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,45,64,4,4,4.567183,3.125,9.375,0.001005,0.108064,0.109069,586.7832,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,46,64,4,4,4.568075,0.0,7.8125,0.000213,0.108053,0.108266,591.1366,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,47,64,4,4,4.671628,0.0,3.125,0.000317,0.107907,0.108224,591.3638,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,48,64,4,4,4.516726,1.5625,4.6875,0.00047,0.107904,0.108373,590.5526,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,49,64,4,4,4.869744,1.5625,6.25,0.000316,0.107662,0.107977,592.7173,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,50,64,4,4,4.534535,3.125,4.6875,0.000297,0.107924,0.108221,591.3837,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,51,64,4,4,4.849038,1.5625,6.25,0.000276,0.108242,0.108518,589.7624,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,52,64,4,4,4.732005,0.0,7.8125,0.000596,0.108348,0.108945,587.4549,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,53,64,4,4,4.640768,3.125,9.375,0.000206,0.10801,0.108216,591.4109,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,54,64,4,4,4.735395,1.5625,3.125,0.000202,0.10812,0.108322,590.8292,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,55,64,4,4,4.602492,1.5625,4.6875,0.000317,0.108123,0.10844,590.1854,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,56,64,4,4,4.666414,1.5625,4.6875,0.000325,0.107871,0.108195,591.5235,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,57,64,4,4,4.615197,1.5625,9.375,0.000339,0.10801,0.108349,590.682,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,58,64,4,4,4.737877,0.0,3.125,0.000555,0.108143,0.108698,588.7875,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,59,64,4,4,4.817131,0.0,3.125,0.000288,0.107845,0.108134,591.8598,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,60,64,4,4,4.684787,0.0,3.125,0.00078,0.107702,0.108482,589.9586,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,61,64,4,4,4.547715,1.5625,6.25,0.000326,0.107557,0.107884,593.2322,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,62,64,4,4,4.650435,1.5625,6.25,0.000327,0.107743,0.10807,592.2098,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,63,64,4,4,4.702716,0.0,12.5,0.000295,0.107547,0.107842,593.4592,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,64,64,4,4,4.571335,0.0,7.8125,0.000259,0.107355,0.107614,594.7197,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,65,64,4,4,4.681447,1.5625,3.125,0.000362,0.107383,0.107745,593.9943,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,66,64,4,4,4.707443,0.0,1.5625,0.000289,0.107485,0.107773,593.8389,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,67,64,4,4,4.6875,1.5625,9.375,0.000313,0.107149,0.107462,595.5603,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,68,64,4,4,4.554141,1.5625,4.6875,0.000252,0.107258,0.10751,595.2961,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,69,64,4,4,4.60497,0.0,4.6875,0.000292,0.107417,0.107709,594.1944,347.9941,3056.0,2780.9321,3056.0
1151,resnet101_bs64_workers4_cpus4,resnet101,1,70,64,4,4,4.705414,0.0,3.125,0.000445,0.10721,0.107655,594.494,347.9941,3056.0,2780.9321,3056.0
