timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W], temperature.gpu
2026/06/18 12:12:41.975, 0, Tesla V100-SXM2-32GB, 95 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 262.46 W, 52
2026/06/18 12:12:42.977, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 266.95 W, 52
2026/06/18 12:12:43.978, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 279.98 W, 52
2026/06/18 12:12:44.980, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.30 W, 52
2026/06/18 12:12:45.981, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 273.76 W, 52
2026/06/18 12:12:46.984, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.30 W, 52
2026/06/18 12:12:47.986, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 261.80 W, 52
2026/06/18 12:12:48.988, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 264.85 W, 53
2026/06/18 12:12:49.990, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 265.81 W, 53
2026/06/18 12:12:50.992, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 267.24 W, 53
2026/06/18 12:12:51.994, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 266.29 W, 53
2026/06/18 12:12:52.997, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 270.00 W, 53
2026/06/18 12:12:53.998, 0, Tesla V100-SXM2-32GB, 99 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 254.32 W, 52
2026/06/18 12:12:55.000, 0, Tesla V100-SXM2-32GB, 19 %, 7 %, 32768 MiB, 4842 MiB, 27653 MiB, 75.40 W, 48
2026/06/18 12:12:56.002, 0, Tesla V100-SXM2-32GB, 0 %, 0 %, 32768 MiB, 4842 MiB, 27653 MiB, 131.90 W, 46
2026/06/18 12:12:57.004, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 217.71 W, 51
2026/06/18 12:12:58.006, 0, Tesla V100-SXM2-32GB, 95 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.48 W, 52
2026/06/18 12:12:59.008, 0, Tesla V100-SXM2-32GB, 95 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 210.58 W, 51
2026/06/18 12:13:00.009, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 219.33 W, 52
2026/06/18 12:13:01.011, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 228.12 W, 52
2026/06/18 12:13:02.014, 0, Tesla V100-SXM2-32GB, 97 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 225.90 W, 52
2026/06/18 12:13:03.016, 0, Tesla V100-SXM2-32GB, 97 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 128.79 W, 51
2026/06/18 12:13:04.018, 0, Tesla V100-SXM2-32GB, 97 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 239.80 W, 52
2026/06/18 12:13:05.019, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.84 W, 53
2026/06/18 12:13:06.021, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.84 W, 53
2026/06/18 12:13:07.024, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.68 W, 53
2026/06/18 12:13:08.025, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 245.22 W, 53
2026/06/18 12:13:09.027, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 250.18 W, 53
2026/06/18 12:13:10.029, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 246.35 W, 53
2026/06/18 12:13:11.031, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 255.62 W, 53
2026/06/18 12:13:12.033, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 245.72 W, 53
2026/06/18 12:13:13.035, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 237.24 W, 53
2026/06/18 12:13:14.037, 0, Tesla V100-SXM2-32GB, 73 %, 48 %, 32768 MiB, 4842 MiB, 27653 MiB, 279.77 W, 53
2026/06/18 12:13:15.039, 0, Tesla V100-SXM2-32GB, 95 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 273.47 W, 54
2026/06/18 12:13:16.041, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 274.61 W, 53
2026/06/18 12:13:17.042, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.68 W, 54
2026/06/18 12:13:18.044, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.68 W, 54
2026/06/18 12:13:19.045, 0, Tesla V100-SXM2-32GB, 97 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.85 W, 54
2026/06/18 12:13:20.047, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.37 W, 54
2026/06/18 12:13:21.048, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 264.07 W, 54
2026/06/18 12:13:22.050, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.56 W, 54
2026/06/18 12:13:23.051, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 267.90 W, 54
2026/06/18 12:13:24.053, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.20 W, 54
2026/06/18 12:13:25.054, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 272.03 W, 54
2026/06/18 12:13:26.056, 0, Tesla V100-SXM2-32GB, 60 %, 37 %, 32768 MiB, 4842 MiB, 27653 MiB, 265.99 W, 54
2026/06/18 12:13:27.057, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 283.42 W, 54
2026/06/18 12:13:28.058, 0, Tesla V100-SXM2-32GB, 97 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.85 W, 54
2026/06/18 12:13:29.060, 0, Tesla V100-SXM2-32GB, 97 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.88 W, 54
2026/06/18 12:13:30.061, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 281.32 W, 54
2026/06/18 12:13:31.063, 0, Tesla V100-SXM2-32GB, 76 %, 50 %, 32768 MiB, 4842 MiB, 27653 MiB, 274.79 W, 54
2026/06/18 12:13:32.064, 0, Tesla V100-SXM2-32GB, 95 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 207.96 W, 55
2026/06/18 12:13:33.066, 0, Tesla V100-SXM2-32GB, 95 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 209.26 W, 55
2026/06/18 12:13:34.067, 0, Tesla V100-SXM2-32GB, 96 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 233.24 W, 55
2026/06/18 12:13:35.069, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 222.54 W, 55
2026/06/18 12:13:36.070, 0, Tesla V100-SXM2-32GB, 95 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 221.25 W, 55
2026/06/18 12:13:37.073, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 222.54 W, 55
2026/06/18 12:13:38.075, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.68 W, 55
2026/06/18 12:13:39.076, 0, Tesla V100-SXM2-32GB, 97 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 244.44 W, 55
2026/06/18 12:13:40.078, 0, Tesla V100-SXM2-32GB, 97 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 248.57 W, 55
2026/06/18 12:13:41.079, 0, Tesla V100-SXM2-32GB, 87 %, 56 %, 32768 MiB, 4842 MiB, 27653 MiB, 259.45 W, 55
2026/06/18 12:13:42.080, 0, Tesla V100-SXM2-32GB, 99 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 254.01 W, 56
2026/06/18 12:13:43.082, 0, Tesla V100-SXM2-32GB, 4 %, 0 %, 32768 MiB, 4842 MiB, 27653 MiB, 72.94 W, 49
2026/06/18 12:13:44.083, 0, Tesla V100-SXM2-32GB, 97 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 267.37 W, 53
2026/06/18 12:13:45.085, 0, Tesla V100-SXM2-32GB, 97 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 263.59 W, 54
2026/06/18 12:13:46.087, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 261.37 W, 55
2026/06/18 12:13:47.089, 0, Tesla V100-SXM2-32GB, 59 %, 42 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.14 W, 55
2026/06/18 12:13:48.090, 0, Tesla V100-SXM2-32GB, 97 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 269.34 W, 55
2026/06/18 12:13:49.091, 0, Tesla V100-SXM2-32GB, 96 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 273.95 W, 55
2026/06/18 12:13:50.093, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 252.10 W, 55
2026/06/18 12:13:51.095, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 260.89 W, 55
2026/06/18 12:13:52.096, 0, Tesla V100-SXM2-32GB, 97 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 245.72 W, 56
2026/06/18 12:13:53.097, 0, Tesla V100-SXM2-32GB, 96 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 237.40 W, 56
2026/06/18 12:13:54.099, 0, Tesla V100-SXM2-32GB, 90 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 270.48 W, 56
2026/06/18 12:13:55.100, 0, Tesla V100-SXM2-32GB, 97 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 252.57 W, 56
2026/06/18 12:13:56.102, 0, Tesla V100-SXM2-32GB, 97 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 243.15 W, 56
2026/06/18 12:13:57.103, 0, Tesla V100-SXM2-32GB, 97 %, 64 %, 32768 MiB, 4842 MiB, 27653 MiB, 243.47 W, 56
2026/06/18 12:13:58.105, 0, Tesla V100-SXM2-32GB, 96 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 236.92 W, 56
2026/06/18 12:13:59.106, 0, Tesla V100-SXM2-32GB, 88 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.74 W, 56
2026/06/18 12:14:00.107, 0, Tesla V100-SXM2-32GB, 97 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 238.20 W, 57
2026/06/18 12:14:01.110, 0, Tesla V100-SXM2-32GB, 95 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 249.07 W, 57
2026/06/18 12:14:02.111, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 250.66 W, 57
2026/06/18 12:14:03.113, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 257.54 W, 57
2026/06/18 12:14:04.115, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 287.35 W, 58
2026/06/18 12:14:05.117, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.11 W, 58
2026/06/18 12:14:06.119, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 272.69 W, 58
2026/06/18 12:14:07.121, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 265.63 W, 58
2026/06/18 12:14:08.123, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 275.09 W, 58
2026/06/18 12:14:09.125, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 273.36 W, 58
2026/06/18 12:14:10.128, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 274.24 W, 58
2026/06/18 12:14:11.130, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.48 W, 58
2026/06/18 12:14:12.132, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 280.94 W, 58
2026/06/18 12:14:13.134, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 272.03 W, 59
2026/06/18 12:14:14.137, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 278.07 W, 59
2026/06/18 12:14:15.139, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.67 W, 58
2026/06/18 12:14:16.140, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 268.68 W, 59
2026/06/18 12:14:17.142, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 275.02 W, 59
2026/06/18 12:14:18.144, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 286.20 W, 59
2026/06/18 12:14:19.145, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 280.27 W, 59
2026/06/18 12:14:20.146, 0, Tesla V100-SXM2-32GB, 84 %, 57 %, 32768 MiB, 4842 MiB, 27653 MiB, 273.47 W, 59
2026/06/18 12:14:21.148, 0, Tesla V100-SXM2-32GB, 94 %, 66 %, 32768 MiB, 4842 MiB, 27653 MiB, 282.09 W, 59
2026/06/18 12:14:22.149, 0, Tesla V100-SXM2-32GB, 82 %, 54 %, 32768 MiB, 4842 MiB, 27653 MiB, 223.32 W, 58
2026/06/18 12:14:23.151, 0, Tesla V100-SXM2-32GB, 96 %, 66 %, 32768 MiB, 4842 MiB, 27653 MiB, 245.07 W, 59
2026/06/18 12:14:24.152, 0, Tesla V100-SXM2-32GB, 96 %, 67 %, 32768 MiB, 4842 MiB, 27653 MiB, 241.08 W, 59
2026/06/18 12:14:25.154, 0, Tesla V100-SXM2-32GB, 96 %, 68 %, 32768 MiB, 4842 MiB, 27653 MiB, 235.33 W, 59
2026/06/18 12:14:26.155, 0, Tesla V100-SXM2-32GB, 95 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 130.55 W, 60
2026/06/18 12:14:27.157, 0, Tesla V100-SXM2-32GB, 65 %, 41 %, 32768 MiB, 4842 MiB, 27653 MiB, 278.26 W, 59
2026/06/18 12:14:28.158, 0, Tesla V100-SXM2-32GB, 97 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 279.69 W, 60
2026/06/18 12:14:29.160, 0, Tesla V100-SXM2-32GB, 99 %, 65 %, 32768 MiB, 4842 MiB, 27653 MiB, 264.67 W, 60
2026/06/18 12:14:30.161, 0, Tesla V100-SXM2-32GB, 99 %, 63 %, 32768 MiB, 4842 MiB, 27653 MiB, 258.15 W, 60
2026/06/18 12:14:31.163, 0, Tesla V100-SXM2-32GB, 5 %, 0 %, 32768 MiB, 4842 MiB, 27653 MiB, 74.82 W, 54
2026/06/18 12:14:32.164, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 251.45 W, 57
2026/06/18 12:14:33.166, 0, Tesla V100-SXM2-32GB, 97 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 254.66 W, 59
2026/06/18 12:14:34.167, 0, Tesla V100-SXM2-32GB, 97 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 246.35 W, 59
2026/06/18 12:14:35.168, 0, Tesla V100-SXM2-32GB, 96 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 247.78 W, 60
2026/06/18 12:14:36.170, 0, Tesla V100-SXM2-32GB, 97 %, 62 %, 32768 MiB, 4842 MiB, 27653 MiB, 228.12 W, 59
2026/06/18 12:14:37.171, 0, Tesla V100-SXM2-32GB, 54 %, 34 %, 32768 MiB, 4842 MiB, 27653 MiB, 80.87 W, 57
2026/06/18 12:14:38.173, 0, Tesla V100-SXM2-32GB, 96 %, 59 %, 32768 MiB, 4842 MiB, 27653 MiB, 283.23 W, 60
2026/06/18 12:14:39.174, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 295.10 W, 60
2026/06/18 12:14:40.176, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 283.33 W, 61
2026/06/18 12:14:41.177, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 270.12 W, 60
2026/06/18 12:14:42.179, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 277.78 W, 61
2026/06/18 12:14:43.180, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.37 W, 61
2026/06/18 12:14:44.181, 0, Tesla V100-SXM2-32GB, 97 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 279.51 W, 61
2026/06/18 12:14:45.184, 0, Tesla V100-SXM2-32GB, 96 %, 60 %, 32768 MiB, 4842 MiB, 27653 MiB, 281.90 W, 61
2026/06/18 12:14:46.186, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 271.37 W, 61
2026/06/18 12:14:47.188, 0, Tesla V100-SXM2-32GB, 96 %, 61 %, 32768 MiB, 4842 MiB, 27653 MiB, 290.22 W, 62
